t=2025-08-09T23:08:01-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-09T23:08:01-0500 lvl=info msg="using configuration at default config path" path=/home/tunji/.config/ngrok/ngrok.yml
t=2025-08-09T23:08:01-0500 lvl=info msg="open config file" path=/home/tunji/.config/ngrok/ngrok.yml err=nil
t=2025-08-09T23:08:01-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-09T23:08:01-0500 lvl=info msg=start pg=/api/tunnels id=0c86fd0d11fe607d
t=2025-08-09T23:08:01-0500 lvl=info msg=end pg=/api/tunnels id=0c86fd0d11fe607d status=200 dur=237.137µs
t=2025-08-09T23:08:01-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://81b6c4d190fc.ngrok-free.app
t=2025-08-09T23:08:02-0500 lvl=info msg=start pg=/api/tunnels id=401a5bc779898eb8
t=2025-08-09T23:08:02-0500 lvl=info msg=end pg=/api/tunnels id=401a5bc779898eb8 status=200 dur=237.869µs
t=2025-08-09T23:08:06-0500 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-08-09T23:14:09-0500 lvl=info msg="join connections" obj=join id=a7238f14f445 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:09-0500 lvl=info msg="join connections" obj=join id=005b0d28cbda l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:19-0500 lvl=info msg="join connections" obj=join id=5b59d4e1dac0 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:19-0500 lvl=info msg="join connections" obj=join id=25cc755ce66d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:29-0500 lvl=info msg="join connections" obj=join id=c2233ea2fb88 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:29-0500 lvl=info msg="join connections" obj=join id=c0433742e280 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:39-0500 lvl=info msg="join connections" obj=join id=69f3961f670c l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:39-0500 lvl=info msg="join connections" obj=join id=95bf7b5cf712 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:49-0500 lvl=info msg="join connections" obj=join id=9948e8e7a636 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:49-0500 lvl=info msg="join connections" obj=join id=8a1e608a928d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:59-0500 lvl=info msg="join connections" obj=join id=157f32b49f5b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:14:59-0500 lvl=info msg="join connections" obj=join id=81bb6823658c l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:09-0500 lvl=info msg="join connections" obj=join id=bff52b177633 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:09-0500 lvl=info msg="join connections" obj=join id=12921c577ca9 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:19-0500 lvl=info msg="join connections" obj=join id=596fb665d2c9 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:19-0500 lvl=info msg="join connections" obj=join id=255257d04bce l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:29-0500 lvl=info msg="join connections" obj=join id=6341638c6c1d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:29-0500 lvl=info msg="join connections" obj=join id=2b9ec177d3bb l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:39-0500 lvl=info msg="join connections" obj=join id=365545f50ad2 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:39-0500 lvl=info msg="join connections" obj=join id=5edac1c0eb1d l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:49-0500 lvl=info msg="join connections" obj=join id=2462b1301461 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:49-0500 lvl=info msg="join connections" obj=join id=90401cadff3f l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:59-0500 lvl=info msg="join connections" obj=join id=4b7bbebd4507 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:15:59-0500 lvl=info msg="join connections" obj=join id=e220057294a1 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:09-0500 lvl=info msg="join connections" obj=join id=e49e444f0f51 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:09-0500 lvl=info msg="join connections" obj=join id=ad9849b77949 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:19-0500 lvl=info msg="join connections" obj=join id=50b9046992aa l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:19-0500 lvl=info msg="join connections" obj=join id=178936e93d92 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:16:29-0500 lvl=info msg="join connections" obj=join id=0a8a171f69ff l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
